"","childid","s2_id","w8cf8p_80","w2sch0","nsch","scorevar","score","wave","calYear","acaYear","w1c","w2","w3","w1"
"2021",10012797,1088,4707.060638,37.162299,15,"x6mscalk5",83.5164,"6",30,24,1,4707.060638,37.162299,4707.060638
"2022",10012806,1843,327.106542,12.784643,16,"x6mscalk5",74.0409,"6",30,24,1,327.106542,12.784643,327.106542
"2023",10012810,1843,606.322704,12.784643,16,"x6mscalk5",110.5854,"6",30,24,1,606.322704,12.784643,606.322704
"2024",10012836,2302,2429.684235,46.502141,20,"x6mscalk5",96.9457,"6",30,24,1,2429.684235,46.502141,2429.684235
"2025",10012859,1746,297.922305,92.9635709999999,17,"x6mscalk5",99.56,"6",30,24,1,297.922305,92.9635709999999,297.922305
"2026",10012861,1543,974.18364,57.501349,17,"x6mscalk5",106.8525,"6",30,24,1,974.18364,57.501349,974.18364
"2027",10012896,1088,1618.460319,37.162299,15,"x6mscalk5",75.8803,"6",30,24,1,1618.460319,37.162299,1618.460319
"2028",10012946,1302,304.411671,37.544854,20,"x6mscalk5",120.3867,"6",30,24,1,304.411671,37.544854,304.411671
"2029",10013013,1218,1015.37673,24.807104,17,"x6mscalk5",118.7764,"6",30,24,1,1015.37673,24.807104,1015.37673
"2030",10013029,1218,1257.316609,24.807104,17,"x6mscalk5",78.2756,"6",30,24,1,1257.316609,24.807104,1257.316609
"2031",10013041,1218,1292.428101,24.807104,17,"x6mscalk5",89.5206,"6",30,24,1,1292.428101,24.807104,1292.428101
"2032",10013128,1937,1060.265062,68.608006,16,"x6mscalk5",118.6065,"6",30,24,1,1060.265062,68.608006,1060.265062
"2033",10013164,1066,1244.685304,59.788467,18,"x6mscalk5",85.0885,"6",30,24,1,1244.685304,59.788467,1244.685304
"2034",10013232,2302,1025.074562,46.502141,20,"x6mscalk5",69.6987,"6",30,24,1,1025.074562,46.502141,1025.074562
"2035",10013361,1756,1065.790074,71.831099,15,"x6mscalk5",115.3048,"6",30,24,1,1065.790074,71.831099,1065.790074
"2036",10013396,2006,1335.300112,32.830566,18,"x6mscalk5",104.0867,"6",30,24,1,1335.300112,32.830566,1335.300112
"2037",10013420,1218,1292.428101,24.807104,17,"x6mscalk5",103.1763,"6",30,24,1,1292.428101,24.807104,1292.428101
"2038",10013478,2006,2927.965841,32.830566,18,"x6mscalk5",106.1219,"6",30,24,1,2927.965841,32.830566,2927.965841
"2039",10013540,1512,718.997489,75.291633,15,"x6mscalk5",86.2794,"6",30,24,1,718.997489,75.291633,718.997489
"2040",10013545,1017,2065.192173,36.765227,17,"x6mscalk5",80.6254,"6",30,24,1,2065.192173,36.765227,2065.192173
"2041",10013622,1247,1029.093527,30.36913,18,"x6mscalk5",89.0169,"6",30,24,1,1029.093527,30.36913,1029.093527
"2042",10013765,1843,264.162875,12.784643,16,"x6mscalk5",97.2431,"6",30,24,1,264.162875,12.784643,264.162875
"2043",10013910,1746,240.594432,92.9635709999999,17,"x6mscalk5",98.1534,"6",30,24,1,240.594432,92.9635709999999,240.594432
"2044",10013911,2302,1220.429902,46.502141,20,"x6mscalk5",83.3272,"6",30,24,1,1220.429902,46.502141,1220.429902
"2045",10013928,1555,950.790254,49.461368,18,"x6mscalk5",69.3234,"6",30,24,1,950.790254,49.461368,950.790254
"2046",10013942,1756,893.557794,71.831099,15,"x6mscalk5",70.35,"6",30,24,1,893.557794,71.831099,893.557794
"2047",10014034,1302,1009.156911,37.544854,20,"x6mscalk5",123.5918,"6",30,24,1,1009.156911,37.544854,1009.156911
"2048",10014070,1906,1258.41223,181.283467,18,"x6mscalk5",65.1595,"6",30,24,1,1258.41223,181.283467,1258.41223
"2049",10014149,2327,789.418885999999,63.196283,16,"x6mscalk5",100.776,"6",30,24,1,789.418885999999,63.196283,789.418885999999
"2050",10014160,1543,1192.229751,57.501349,17,"x6mscalk5",102.3839,"6",30,24,1,1192.229751,57.501349,1192.229751
"2051",10014241,1756,1268.904842,71.831099,15,"x6mscalk5",110.4764,"6",30,24,1,1268.904842,71.831099,1268.904842
